SA2_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
601031014,246,342,435,390,350,230,209,335,62,2606
601031015,306,448,615,589,520,352,278,528,65,3690
601031016,185,336,288,393,260,195,158,301,41,2148
601031017,435,737,765,989,660,558,377,786,138,5440
601031018,238,385,355,381,386,258,143,242,72,2456
601031019,254,664,411,492,326,272,160,333,48,2963
601031020,250,286,534,484,356,275,295,415,54,2948
601031021,197,441,293,398,276,204,125,278,33,2243
601041022,801,1634,877,837,932,594,214,541,135,6567
601041023,835,1650,665,662,742,413,127,349,86,5525
601041024,565,1030,680,491,500,322,185,352,81,4202
601041025,0,0,0,0,0,0,0,0,0,0
601041026,283,741,129,197,159,103,21,81,21,1738
601051027,675,1734,431,655,484,367,91,298,69,4805
601051028,669,1736,503,643,610,340,103,247,69,4911
601051029,386,926,214,346,250,191,44,154,37,2543
601051030,433,1060,328,447,390,281,122,259,38,3358
601051031,966,2150,461,793,657,449,141,389,117,6116
601051032,462,1508,324,420,339,176,59,197,36,3506
601051033,543,1471,295,399,355,233,36,211,44,3585
601061034,486,615,758,537,503,327,212,425,93,3959
601061035,663,760,712,587,751,432,273,457,103,4735
602011036,159,276,221,276,117,164,95,205,19,1527
602011037,260,460,327,333,271,243,172,229,48,2344
602011038,436,920,251,385,327,248,94,192,48,2900
602011039,295,493,350,346,266,229,154,173,36,2337
602011040,116,221,216,341,169,201,177,334,38,1801
602011041,309,435,474,620,363,413,389,818,103,3919
602011042,384,729,263,330,248,222,106,195,24,2505
602011043,198,445,199,223,234,176,105,157,27,1765
602011044,391,607,435,434,521,362,204,305,50,3308
602011045,53,72,166,218,101,138,141,297,37,1227
602011046,413,894,478,479,391,349,177,293,57,3526
602011047,267,628,330,362,240,238,131,238,33,2466
602011048,252,386,382,377,350,259,187,213,37,2446
602011049,319,740,315,336,293,196,92,149,34,2473
602011050,149,235,293,242,200,176,196,260,26,1782
602011051,282,655,298,295,263,185,95,174,21,2272
602011052,288,455,321,309,337,237,171,211,43,2379
602021053,169,169,216,168,147,131,165,230,31,1432
602021054,549,313,301,320,201,164,220,483,44,2601
602021055,412,516,440,297,336,216,172,250,57,2695
602021056,226,288,312,189,274,182,166,192,41,1866
602021057,315,257,320,236,192,141,211,228,38,1939
602031058,323,408,347,235,237,139,201,180,50,2122
602031059,259,302,412,338,226,218,316,397,65,2528
602031060,256,240,312,260,219,164,181,269,36,1935
602031061,338,142,229,125,106,147,148,348,43,1630
602031062,375,408,428,331,351,249,238,262,39,2686
602031064,337,318,347,328,215,211,164,358,48,2326
602031099,126,57,54,47,38,28,24,60,12,453
602031100,592,273,390,289,245,199,296,537,50,2875
603011065,229,67,122,109,75,33,101,192,19,957
603011066,184,181,223,229,159,118,147,224,38,1500
603011067,453,284,495,370,343,250,309,420,88,3005
603011068,7,0,0,0,0,0,0,0,0,4
603021069,232,361,219,155,137,79,71,147,25,1431
603021070,315,414,268,212,187,124,103,198,47,1858
603021071,241,246,205,199,141,73,109,295,49,1560
603021072,569,788,737,482,504,295,240,537,87,4235
603031073,165,146,142,123,83,43,62,151,25,939
603031074,387,233,273,243,189,123,105,405,38,2001
604011075,99,142,187,202,139,145,133,205,27,1266
604011076,476,294,450,280,263,193,295,361,43,2656
